M [ 0 , <decl-spec> ] = GOTO 1
M [ 0 , <decl> ] = GOTO 2
M [ 0 , <enum-spec> ] = GOTO 3
M [ 0 , <ext-decl> ] = GOTO 4
M [ 0 , <func-def> ] = GOTO 5
M [ 0 , <storage-class-spec> ] = GOTO 6
M [ 0 , <struct-union-spec> ] = GOTO 7
M [ 0 , <struct-union> ] = GOTO 8
M [ 0 , <trans-unit> ] = GOTO 9
M [ 0 , <type-qual> ] = GOTO 10
M [ 0 , <type-spec> ] = GOTO 11
M [ 0 , char ] = SHIFT 12
M [ 0 , const ] = SHIFT 13
M [ 0 , double ] = SHIFT 14
M [ 0 , enum ] = SHIFT 15
M [ 0 , float ] = SHIFT 16
M [ 0 , int ] = SHIFT 17
M [ 0 , long ] = SHIFT 18
M [ 0 , short ] = SHIFT 19
M [ 0 , signed ] = SHIFT 20
M [ 0 , struct ] = SHIFT 21
M [ 0 , typedef ] = SHIFT 22
M [ 0 , unsigned ] = SHIFT 23
M [ 0 , void ] = SHIFT 24
M [ 1 , <declarator> ] = GOTO 25
M [ 1 , <direct-declarator> ] = GOTO 26
M [ 1 , <init-declarator-list> ] = GOTO 27
M [ 1 , <init-declarator> ] = GOTO 28
M [ 1 , <pointer> ] = GOTO 29
M [ 1 , DELIM_LPAR ] = SHIFT 30
M [ 1 , DELIM_SEMICOLON ] = SHIFT 31
M [ 1 , IDENTIFIER ] = SHIFT 32
M [ 1 , OP_MUL ] = SHIFT 33
M [ 2 , (EOF) ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , char ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , const ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , double ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , enum ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , float ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , int ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , long ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , short ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , signed ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , struct ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , typedef ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , unsigned ] = REDUCE <ext-decl> -> <decl> 
M [ 2 , void ] = REDUCE <ext-decl> -> <decl> 
M [ 3 , DELIM_LPAR ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , DELIM_SEMICOLON ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , IDENTIFIER ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , OP_MUL ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , char ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , const ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , double ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , enum ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , float ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , int ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , long ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , short ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , signed ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , struct ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , typedef ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , unsigned ] = REDUCE <type-spec> -> <enum-spec> 
M [ 3 , void ] = REDUCE <type-spec> -> <enum-spec> 
M [ 4 , (EOF) ] = REDUCE <trans-unit> -> <ext-decl> 
M [ 4 , char ] = REDUCE <trans-unit> -> <ext-decl> 
